query,expected_drugs
Obat untuk dan nyeri persendian.,piroxicam 20 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. artritis rheumatoid,voltaren 25 mg 10 tablet
Obat untuk osteoartritis,"divoltar 50 mg 10 tablet,ketoprofen 50 mg 10 tablet,lexicam 10 mg 10 kapsul,lexicam 20 mg 10 kapsul,oste forte 6 kaplet,pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul,voltaren 25 mg 10 tablet"
Obat untuk spondiloartritis,voltaren 25 mg 10 tablet
Obat untuk nyeri pada kolumna vertebra (tulang punggung),voltaren 25 mg 10 tablet
Obat untuk non-artikular reumatik,voltaren 25 mg 10 tablet
Obat untuk serangan akut gout dan nyeri lain.,voltaren 25 mg 10 tablet
Obat untuk membantu meredakan sakit kepala.,bodrex herbal sakit kepala 4 tablet
Obat untuk menurunkan demam yang menyertai flu & paska vaksinasi,"dapyrin 500 mg 10 tablet,erlamol 500 mg 10 tablet,farmadol 500 mg 10 tablet,grafadon 500 mg 10 kaplet,maganol 500 mg 12 kaplet,mirasic 500 mg 10 kaplet,pamol 500 mg 4 tablet,primadol 10 kaplet,tropigesic 500 mg 10 kaplet"
Obat untuk meredakan sakit/nyeri ringan - sedang pada sakit kepala,dumin 125 mg/2.5 ml rectal tube
Obat untuk nyeri haid,"asmef 500 mg 10 kaplet,bimastan 500 mg 10 kaplet,dumin 125 mg/2.5 ml rectal tube,ketoprofen 50 mg 10 tablet"
Obat untuk nyeri otot & sendi,dumin 125 mg/2.5 ml rectal tube
Obat untuk mencegah rasa sakit akibat suntikan,ethylchloride spray 100 ml
Obat untuk prosedur operasi,ethylchloride spray 100 ml
Obat untuk cedera olahraga,ethylchloride spray 100 ml
Obat untuk dan nyeri otot mendalam.,ethylchloride spray 100 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan tanda2 & gejala2 oa,"celecoxib 100 mg 10 kapsul,coxiron 120 mg 10 tablet,coxiron 60 mg 10 tablet,etoricoxib 60 mg 10 tablet,lacosib 90 mg 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. membantu mengurangi nyeri,flamar 10 mg/g gel 20 g
Obat untuk gangguan inflamasi (radang),"flamar 10 mg/g gel 20 g,megatic gel 20 gr"
Obat untuk nyeri ringan sampai sedang pasca trauma pada tendon,"flamar 10 mg/g gel 20 g,megatic gel 20 gr"
Obat untuk ligamen,"dicoren gel 20 g,erphaflam emulgel 20 g,flamar 10 mg/g gel 20 g,megatic gel 20 gr,voltaren emulgel 10 g,voltaren emulgel 20 g,voltaren emulgel 5 g,voltaren emulgel 50 g"
Obat untuk otot dan persendian. obat ini juga dapat digunakan untuk mengurangi rasa sakit pada penderita rheumatoid arthritis dan osteoarthritis.,flamar 10 mg/g gel 20 g
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi gejala-gejala artritis reumatoid,kaltrofen suppositoria 100 mg
Obat untuk osteo artritis,kaltrofen suppositoria 100 mg
Obat untuk gout akut dan spondilitis ankilosa,kaltrofen suppositoria 100 mg
Obat untuk nyeri reumatik,"anastan forte 10 kaplet,argesid 500 mg 10 kaplet,fenamin 500 mg 10 kaplet,grafix kapsul 500mg,lapistan 500 mg 10 tablet,mefentan 500 mg 10 tablet,mefix 500 mg 10 kaplet,ponsamic 500 mg 10 tablet,ponstelax 500 mg 10 tablet"
Obat untuk meringankan rasa nyeri yang disertai kebas,neo rheumacyl neuro 10 kaplet
Obat untuk kesemutan dan kram,neo rheumacyl neuro 10 kaplet
Obat untuk membantu meredakan nyeri otot dan persendian seperti yang disebabkan oleh sprain,voltadex gel 20 g
Obat untuk strain dan memar. membantu meredakan rematik dan lainnya,voltadex gel 20 g
Obat untuk informasi obat ini hanya untuk kalangan medis. obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala,asmef 500 mg 10 kaplet
Obat untuk nyeri akibat trauma,asmef 500 mg 10 kaplet
Obat untuk nyeri pada otot dan nyeri sesudah operasi.,asmef 500 mg 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. mengobati vertigo,betahistine 24 mg 10 tablet
Obat untuk tinitus,"bartolium 5 mg 10 tablet,betahistine 24 mg 10 tablet,betaserc 8 mg 25 tablet,seremig 10 mg 10 kaplet"
Obat untuk serta ketulian yang berhubungan dengan sindrom meniere,betahistine 24 mg 10 tablet
Obat untuk dan gangguan pendengaran yang terkait pada pasien dengan penyakit meniere.,betaserc 24 mg 20 tablet
Obat untuk meredakan nyeri seperti sakit kepala,bodrex demam 4 kaplet
Obat untuk serta demam yang menyertai flu dan setelah imunisasi,bodrex demam 4 kaplet
Obat untuk untuk meredakan sakit kepala,bodrex extra 4 kaplet
Obat untuk meredakan sakit kepala sebelah (migraine),bodrex migra 4 kaplet
Obat untuk meringankan nyeri ringan sampai sedang pada penyakit gigi atau sesudah pencabutan gigi,bufect suspensi 100mg/5ml 60ml
Obat untuk nyeri kepala,bufect suspensi 100mg/5ml 60ml
Obat untuk nyeri setelah operasi,bufect suspensi 100mg/5ml 60ml
Obat untuk nyeri pada penyakit reumatik,"bufect suspensi 100mg/5ml 60ml,dolofen-f 400 mg 10 kapsul"
Obat untuk nyeri karena terkilir,bufect suspensi 100mg/5ml 60ml
Obat untuk menurunkan demam.,bufect suspensi 100mg/5ml 60ml
Obat untuk nyeri ringan sampai dengan sedang seperti dismenor primer,bufect suspensi forte 200mg/5ml 50 ml
Obat untuk nyeri gigi atau nyeri pasca operasi cabut gigi,bufect suspensi forte 200mg/5ml 50 ml
Obat untuk nyeri pasca operasi,bufect suspensi forte 200mg/5ml 50 ml
Obat untuk sakit kepala. nyeri ringan hingga sedang yang merupakan gejala dari nyeri pada penyakit reumatik,bufect suspensi forte 200mg/5ml 50 ml
Obat untuk untuk meredakan demam.,bufect suspensi forte 200mg/5ml 50 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi artritis rheumatoid juvenil,cataflam drops 15 ml
Obat untuk informasi obat ini hanya untuk kalangan medis. terapi artritis reumatoid,divoltar 50 mg 10 tablet
Obat untuk osteoartrosis,divoltar 50 mg 10 tablet
Obat untuk spondilitis ankilosing,divoltar 50 mg 10 tablet
Obat untuk dan spondiloartritis akut atau kronik. sindrom nyeri tulang vertebral. rheumatisme non-artikuler. serangan gout akut.,divoltar 50 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. untuk nyeri ringan sampai dengan sedang seperti nyeri pasca operasi,dolofen-f 400 mg 10 kapsul
Obat untuk dan untuk meredakan demam,dolofen-f 400 mg 10 kapsul
Obat untuk menghilangkan nyeri pada sakit kepala,dumin 250 mg rectal tube 4 ml
Obat untuk dismenore (nyeri pada saat haid),dumin 250 mg rectal tube 4 ml
Obat untuk nyeri otot dan sendi,"dumin 250 mg rectal tube 4 ml,mixalgin 10 tablet"
Obat untuk mengatasi gangguan spasme pada kolon. mampu mengatasi dan mengurangi sindrom irritable kolom pada taraf stadium awal yang juga dapat disertai dengan luka pada area traktus gi. mampu mengurangi nyeri pada area diverticulosis dan diverticulitis pada kolon. dapat mengurangi nyeri pada enteritis regional. digunakan untuk membantu terapi penyakit jantung dan saluran empedu. mengobati tukak lambung. dapat mengurangi nyeri tukak usus duabelas jari. membantu mengatasi inflames non spesifik dan spesifik.,duspatalin 135 mg 10 tablet
Obat untuk obat ini dapat digunakan untuk meredakan sakit kepala,"emturnas forte 650 mg 10 kaplet,nipe fever sirup 60 ml,rodemol 500 mg 10 kaplet,tempra forte sirup rasa anggur 30 ml,tempra forte sirup rasa jeruk 60 ml,tempra forte sirup rasa strawberry 30 ml,tempra forte sirup rasa strawberry 60 ml,tempra sirup rasa anggur 100 ml,tempra sirup rasa anggur 60 ml"
Obat untuk nyeri yang mengganggu dan menurunkan demam yang menyertai flu atau influenza,emturnas forte 650 mg 10 kaplet
Obat untuk serta demam sesudah vaksinasi.,emturnas forte 650 mg 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. serangan migraine akut.,ericaf 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. mengurangi nyeri dan bengkak pada sendi dan otot penderita osteoarthritis,etorvel 90 mg 10 tablet
Obat untuk rheumatoid arthritis,"etorvel 90 mg 10 tablet,fenaren 50 mg 10 tablet,megatic gel 20 gr,sikstop 60 mg 10 tablet,sikstop 90 mg 10 tablet"
Obat untuk ankylosing spondylitis,"etorvel 60 mg 10 tablet,etorvel 90 mg 10 tablet,pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk artritis gout,etorvel 90 mg 10 tablet
Obat untuk dan nyeri akibat operasi gigi.,etorvel 90 mg 10 tablet
Obat untuk nyeri waktu haid,fargetix 500 mg 10 kaplet
Obat untuk nyeri paska bedah,fargetix 500 mg 10 kaplet
Obat untuk efek antiinflamasi dan analgesik: meringankan gejala rematik tulang,farsifen 200 mg 10 tablet
Obat untuk sendi,farsifen 200 mg 10 tablet
Obat untuk non sendi,farsifen 200 mg 10 tablet
Obat untuk trauma otot dan muskuloskeletal. efek analgesik: meringankan nyeri pada dismenore primer,farsifen 200 mg 10 tablet
Obat untuk pencabutan gigi dan nyeri sesudah operasi.,farsifen 200 mg 10 tablet
Obat untuk faxiden merupakan obat yang digunakan untuk membantu mengurangi rasa sakit,faxiden 20 mg 10 kaplet
Obat untuk pembengkakan,faxiden 20 mg 10 kaplet
Obat untuk dan kekakuan sendi.,faxiden 20 mg 10 kaplet
Obat untuk terapi simtomatik jangka pendek untuk eksaserbasi akut dari oa (osteoartritis). terapi simtomatik jangka panjang untuk ar (artritis reumatoid).,flasicox 15 mg 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. profilaksis migrain,frego 5 mg 10 tablet
Obat untuk menurunkan demam dan rasa nyeri pada otot/ sendi yang menyertai influenza,hufagesic 10 kaplet
Obat untuk vaksinasi dan penyakit akibat infeksi,hufagesic 10 kaplet
Obat untuk dysmenorrhoea.,hufagesic 10 kaplet
Obat untuk meringankan nyeri ringan sampai sedang pada otot,iremax 200 mg 10 tablet
Obat untuk nyeri haid dan nyeri sesudah pembedahan,iremax 200 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. sebagai pengobatan jangka pendek untuk nyeri inflamasi setelah trauma (seperti karena terkilir),kalium diklofenak 25 mg 10 tablet
Obat untuk nyeri dan inflamasi setelah operasi tulang atau gigi,kalium diklofenak 25 mg 10 tablet
Obat untuk serta sebagai terapi tambahan pada nyeri inflamasi yang berat dari infeksi telinga,kalium diklofenak 25 mg 10 tablet
Obat untuk hidung atau tenggorokan,"kalium diklofenak 25 mg 10 tablet,x-flam 50 mg 10 tablet"
Obat untuk (misalnya faringotonsilitis,kalium diklofenak 25 mg 10 tablet
Obat untuk otitis).,kalium diklofenak 25 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. untuk menghilangkan sakit kepala,mixalgin 10 tablet
Obat untuk rematik,"etorvel 60 mg 10 tablet,mixalgin 10 tablet"
Obat untuk sakit pinggang,mixalgin 10 tablet
Obat untuk kolik ginjal dan empedu.,mixalgin 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan nyeri karena neuritis dan neuralgia terutama nyeri berat,neuropyron v 10 tablet
Obat untuk meredakan nyeri akut & kronik berat,norages sirup 250 mg/5 ml 60 ml
Obat untuk penyakit reumatik,norages sirup 250 mg/5 ml 60 ml
Obat untuk nyeri karena kanker,norages sirup 250 mg/5 ml 60 ml
Obat untuk nyeri setelah trauma/pasca operasi,norages sirup 250 mg/5 ml 60 ml
Obat untuk nyeri kolik.,norages sirup 250 mg/5 ml 60 ml
Obat untuk mengurangi sakit kepala,oskadon 4 tablet
Obat untuk menghilangkan segala macam rasa nyeri,oskadon 4 tablet
Obat untuk dan menghilangkan demam.,oskadon 4 tablet
Obat untuk meredakan nyeri otot pada punggung dan pinggang,oskadon sp 4 tablet
Obat untuk meringankan rasa nyeri pada nyeri otot,paramex nyeri otot 4 tablet
Obat untuk nyeri sendi,"alphamol 600 mg 10 kaplet,cap lang gpu krim hot 120 g,cap lang minyak urut gpu jahe 30 ml,cap lang minyak urut gpu sereh 100 ml,cap lang minyak urut gpu sereh 60 ml,counterpain cream 120 g,counterpain cream 15 g,counterpain cream 30 g,counterpain cream 5 g,counterpain cream 60 g,hansaplast koyo panas 10 lembar,hot in cream botol 60 ml,neo rheumacyl koyo hangat 10 lembar,paramex nyeri otot 4 tablet,shen nong si winter medicated oil 12 ml,shen nong si winter medicated oil 20 ml,shen nong si winter medicated oil 40 ml,shen nong si winter medicated oil 6 ml"
Obat untuk dan menurunkan demam,"ottopan drops 15 ml,ottopan sirup 60 ml,paramex nyeri otot 4 tablet"
Obat untuk untuk meringankan rasa sakit yang disebabkan oleh syaraf (neuritis),paranervion 10 kaplet
Obat untuk meringankan sakit kepala derajat sedang dan migren,poldan mig 4 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. nyeri pasca operasi,pronalges suppositoria 100 mg
Obat untuk pasca partum,pronalges suppositoria 100 mg
Obat untuk dan ortopedik,pronalges suppositoria 100 mg
Obat untuk nyeri dan demam,pyrexin 500 mg 10 tablet
Obat untuk atralgia,pyrexin 500 mg 10 tablet
Obat untuk nyeri muskuloskeletal,pyrexin 500 mg 10 tablet
Obat untuk reumatik.,pyrexin 500 mg 10 tablet
Obat untuk profilaksis migren. pengobatan & pencegahan gangguan vestibular,seremig 10 mg 10 kaplet
Obat untuk serebral & sistem sirkulasi perifer,seremig 10 mg 10 kaplet
Obat untuk misalnya pusing,seremig 10 mg 10 kaplet
Obat untuk vertigo,"bartolium 5 mg 10 tablet,lexigo 6 mg 10 tablet,seremig 10 mg 10 kaplet,unalium 5 mg 20 tablet"
Obat untuk gangguan konsentrasi,seremig 10 mg 10 kaplet
Obat untuk bingung,seremig 10 mg 10 kaplet
Obat untuk gangguan daya ingat,seremig 10 mg 10 kaplet
Obat untuk gangguan irama tidur,seremig 10 mg 10 kaplet
Obat untuk iritabilitas,"bartolium 5 mg 10 tablet,seremig 10 mg 10 kaplet"
Obat untuk konvulsi,seremig 10 mg 10 kaplet
Obat untuk parestesia,"bartolium 5 mg 10 tablet,seremig 10 mg 10 kaplet"
Obat untuk ekstremitas dingin,seremig 10 mg 10 kaplet
Obat untuk gangguan trofik.,seremig 10 mg 10 kaplet
Obat untuk mengatasi migrain,triptagic kaplet 100 mg
Obat untuk informasi obat ini hanya untuk kalangan medis. mengatasi gejala vertigo dan pusing pada penyakit meniere dan vertigo perifer,vastigo 6 mg 10 tablet
Obat untuk neuritis,"abajos 10 kapsul,erlagin 10 kaplet"
Obat untuk meredakan nyeri dan mengurangi inflamasi pada pasien rematoid atritis akut dan kronis,"aclonac 25 mg 10 tablet,erphaflam 50 mg 10 tablet,exaflam 25 mg 10 tablet,exaflam 50 mg 10 tablet,kaflam 25 mg 10 tablet"
Obat untuk spondilitis ankilosa. meredakan nyeri ringan sampai sedang pada saat dismenore atau pasca operasi. meredakan nyeri gigi ringan hingga sedang.,"aclonac 25 mg 10 tablet,erphaflam 50 mg 10 tablet,exaflam 25 mg 10 tablet,exaflam 50 mg 10 tablet,kaflam 25 mg 10 tablet"
Obat untuk untuk meringankan nyeri otot,alaxan fr 10 kapsul
Obat untuk nyeri haid (dysmenorrhea primer),alaxan fr 10 kapsul
Obat untuk sakit kepala dan menurunkan demam.,alaxan fr 10 kapsul
Obat untuk demam pasca vaksinasi,alphamol 600 mg 10 kaplet
Obat untuk nyeri telinga,"alphamol 600 mg 10 kaplet,xepamol drops 15 ml"
Obat untuk meredakan nyeri ringan hingga sedang pada sakit kepala,"argesid 500 mg 10 kaplet,mefentan 500 mg 10 tablet,mefix 500 mg 10 kaplet,ponsamic 500 mg 10 tablet,ponstelax 500 mg 10 tablet"
Obat untuk mencegah pusing/migren,bartolium 5 mg 10 tablet
Obat untuk sulit konsentrasi dan kebingungan,bartolium 5 mg 10 tablet
Obat untuk gangguan memori dan tidur,bartolium 5 mg 10 tablet
Obat untuk extremitas/tangan-kaki dingin dan gangguan tropik.,bartolium 5 mg 10 tablet
Obat untuk terapi simptomatis untuk vertigo,betaserc 8 mg 25 tablet
Obat untuk penyakit meniere dan gejala yang menyerupai penyakit meniere seperti: vertigo,betaserc 8 mg 25 tablet
Obat untuk hilangnya pendengaran,betaserc 8 mg 25 tablet
Obat untuk biasanya disertai dengan mual,betaserc 8 mg 25 tablet
Obat untuk menghilangkan nyeri ringan atau sedang,bimastan 500 mg 10 kaplet
Obat untuk kondisi akut atau kronis termasuk nyeri persendian,bimastan 500 mg 10 kaplet
Obat untuk nyeri sehabis melahirkan,bimastan 500 mg 10 kaplet
Obat untuk nyeri sehabis operasi,bimastan 500 mg 10 kaplet
Obat untuk sakit kepala dan sakit gigi,"bimastan 500 mg 10 kaplet,tempra forte sirup rasa anggur 60 ml,tempra forte sirup rasa bubblegum 60 ml,tempra sirup rasa anggur 30 ml"
Obat untuk informasi obat ini hanya untuk kalangan medis. meringankan nyeri berat akibat neuritis dan neuralgia,biomega 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. meringankan gejala osteoatritis,coxiron 90 mg 10 tablet
Obat untuk nyeri neuromuskuloskeletal kronis,coxiron 90 mg 10 tablet
Obat untuk dan nyeri akut pada pembedahan gigi.,coxiron 90 mg 10 tablet
Obat untuk segala macam rasa nyeri,datan 500 mg kaplet
Obat untuk baik akut maupun kronik,datan 500 mg kaplet
Obat untuk pengobatan akut dan kronis gejala-gejala rheumatoid artritis,dicloflam 50 mg 10 tablet
Obat untuk osteoartritis dan ankylosing spondilitis.,dicloflam 50 mg 10 tablet
Obat untuk terapi lokal inflamasi traumatik pada tendon,dicoren gel 20 g
Obat untuk otot & sendi. reumatik jaringan lunak yang terlokalisir & penyakit reumatik.,dicoren gel 20 g
Obat untuk mengobati gejala-gejala arthritis reumatik,diflam 50 mg 10 tablet
Obat untuk osteoarthritis,"diflam 50 mg 10 tablet,fenaren 50 mg 10 tablet,lanareuma 20 mg 10 kapsul,miracloven 50 mg 10 tablet,oskom 6 tablet"
Obat untuk serta nyeri muskuloskeletal lain,diflam 50 mg 10 tablet
Obat untuk untuk meredakan rasa sakit sakit seperti sakit kepala,etafenin 500 mg 10 kaplet
Obat untuk meredakan rasa nyeri sperti nyeri otot,etafenin 500 mg 10 kaplet
Obat untuk nyeri pada persalinan,etafenin 500 mg 10 kaplet
Obat untuk nyeri karena trauma.,etafenin 500 mg 10 kaplet
Obat untuk meringankan gejala pada pengobatan osteoartritis,"etorix 120 mg 10 tablet,etorix 90 mg 10 tablet"
Obat untuk pengobatan nyeri dan tanda-tanda inflamasi yang berhubungan dengan gout artritis akut,"etorix 120 mg 10 tablet,etorix 90 mg 10 tablet"
Obat untuk meringankan nyeri muskuloskeletal kronis,"etorix 120 mg 10 tablet,etorix 90 mg 10 tablet"
Obat untuk meringankan nyeri akut pada pembedahan gigi,"etorix 120 mg 10 tablet,etorix 90 mg 10 tablet"
Obat untuk mengurangi nyeri dan bengkak pada sendi dan otot penderita osteoarthritis,etorvel 60 mg 10 tablet
Obat untuk dan asam urat.,etorvel 60 mg 10 tablet
Obat untuk digunakan untuk membantu mengobati peradangan pada sendi yang menyebabkan rasa sakit,faxiden 10 mg 10 kaplet
Obat untuk bengkak dan kaku seperti pada kaki dan tangan.,faxiden 10 mg 10 kaplet
Obat untuk mengurangi nyeri,"fenaren 50 mg 10 tablet,megatic gel 20 gr"
Obat untuk gangguan inflamasi,fenaren 50 mg 10 tablet
Obat untuk dismenore (nyeri haid),fenaren 50 mg 10 tablet
Obat untuk nyeri ringan sampai sedang pasca operasi khususnya ketika pasien juga mengalami peradangan,fenaren 50 mg 10 tablet
Obat untuk dapat juga di gunakan untuk mengurangi rasa sakit pada penderita arthritis,fenaren 50 mg 10 tablet
Obat untuk untuk sakit gigi,fenaren 50 mg 10 tablet
Obat untuk migrain akut,fenaren 50 mg 10 tablet
Obat untuk asam urat dan nyeri karena batu ginjal dan batu empedu,fenaren 50 mg 10 tablet
Obat untuk oral terapi simtomatik nyeri ringan hingga sedang seperti nyeri muskuloskeletal & nyeri pasca operasi,fendex 25 mg 10 tablet
Obat untuk sakit gigi.,"fendex 25 mg 10 tablet,itamol 10 kaplet"
Obat untuk membantu meredakan nyeri,herbapain 6 tablet
Obat untuk seperti nyeri kepala dan nyeri otot,herbapain 6 tablet
Obat untuk meringankan rasa sakit yang disebabkan oleh neuritis dan neuralgia,hufralgin 10 kaplet
Obat untuk terutama pada keadaan rasa sakit yang berat.,hufralgin 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan simtomatik artritis reumatoid dan osteoartritis,ifen 400 mg 10 tablet
Obat untuk pada fase akut dan untuk pengobatan jangka panjang. pengobatan rasa nyeri yang ringan sampai sedang.,ifen 400 mg 10 tablet
Obat untuk analgetik pada neuralgia,infalgin 500 mg 10 tablet
Obat untuk dismenore dan nyeri trauma,infalgin 500 mg 10 tablet
Obat untuk obat ini dapat digunakan untuk menurunkan demam,itamol 10 kaplet
Obat untuk demam setelah vaksinasi,"itamol 10 kaplet,itamol forte 650 mg 10 kaplet,trifamol forte 650 mg 10 kaplet"
Obat untuk dan meringankan sakit pada otot,itamol 10 kaplet
Obat untuk untuk menurunkan demam,"itamol forte 650 mg 10 kaplet,trifamol forte 650 mg 10 kaplet"
Obat untuk dan meringankan rasa sakit pada otot,"itamol forte 650 mg 10 kaplet,trifamol forte 650 mg 10 kaplet"
Obat untuk sakit gigi dan nyeri haid.,"itamol forte 650 mg 10 kaplet,trifamol forte 650 mg 10 kaplet"
Obat untuk mengurangi rasa nyeri dan radang pada reumatoid artritis,ketoprofen 50 mg 10 tablet
Obat untuk asam urat,ketoprofen 50 mg 10 tablet
Obat untuk nyeri paska operasi,ketoprofen 50 mg 10 tablet
Obat untuk nyeri paska melahirkan,ketoprofen 50 mg 10 tablet
Obat untuk nyeri punggung dan nyeri pinggang,ketoprofen 50 mg 10 tablet
Obat untuk rheumatoid arthritis (ra),lacosib 60 mg 10 tablet
Obat untuk nyeri akut yang terkait dengan operasi gigi dan ankilosing spondilitis pada orang dewasa,lacosib 60 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. mengobati asam urat,lanareuma 20 mg 10 kapsul
Obat untuk arthritis (radang sendi),lanareuma 20 mg 10 kapsul
Obat untuk artritis reumatoid (nyeri sendi akibat reumatik).,lanareuma 20 mg 10 kapsul
Obat untuk informasi obat ini hanya untuk kalangan medis. meringankan rasa nyeri ringan hingga sedang,lantiflam 100 mg 10 tablet
Obat untuk rasa sakit,lantiflam 100 mg 10 tablet
Obat untuk serta demam.,lantiflam 100 mg 10 tablet
Obat untuk untuk meringankan rasa sakit,lexagin 500 mg 10 kaplet
Obat untuk terutama nyeri kolik dan sakit setelah operasi.,lexagin 500 mg 10 kaplet
Obat untuk terapi simptomatik rematoid artritis,"lexicam 10 mg 10 kapsul,lexicam 20 mg 10 kapsul"
Obat untuk ankilosing spondilitis,"lexicam 10 mg 10 kapsul,lexicam 20 mg 10 kapsul"
Obat untuk gangguan muskuloskeletal akut dan gout akut.,"lexicam 10 mg 10 kapsul,lexicam 20 mg 10 kapsul"
Obat untuk pusing dan gangguan keseimbangan yang selalu diikuti dengan gangguan sirkulasi darah otak,lexigo 6 mg 10 tablet
Obat untuk gangguan meniere.,lexigo 6 mg 10 tablet
Obat untuk otot dan persendian,megatic gel 20 gr
Obat untuk mengurangi rasa sakit pada penderita (rematik) arthritis,megatic gel 20 gr
Obat untuk dan osteoarthritis.,megatic gel 20 gr
Obat untuk peradangan,melocid 7.5 mg 10 tablet
Obat untuk terapi simtomatik berbagai jenis rematik (artikuler dan non artikuler) seperti osteoartritis dan artritis reumatoid.,mexpharm 15 mg 10 tablet
Obat untuk terapi simptomatik jangka pendek untuk osteoartritis eksaserbasi akut,mexpharm 7.5 mg 10 tablet
Obat untuk terapi simptomatik jangka panjang untuk artritis reumatoid.,mexpharm 7.5 mg 10 tablet
Obat untuk digunakan untuk membantu meredakan sakit kepala.,migranal 100 pil
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan akut dan khoronis pada gejala rheumatoid arthritis,miracloven 50 mg 10 tablet
Obat untuk dan ankylosing spondylitis. mengurangi sakit dan dysmenorrhea primer,miracloven 50 mg 10 tablet
Obat untuk bila dikehendaki pengurangan rasa sakit segera.,miracloven 50 mg 10 tablet
Obat untuk meringankan nyeri ringan sampai sedang sehubungan dengan sakit kepala,molasic 500 mg 10 kaplet
Obat untuk dismenore primer,"molasic 500 mg 10 kaplet,trifastan 500 mg 10 tablet"
Obat untuk dan nyeri sesudah operasi.,molasic 500 mg 10 kaplet
Obat untuk terapi jangka pendek oa eksaserbasi akut & terapi jangka panjang ar. terapi simtomatik spondilitis ankilosa,movi-cox 15 mg 10 tablet
Obat untuk -,"broadamox 250 mg dry sirup 60 ml,cerafix 100 mg dry sirup 30 ml,cerafix dry sirup 30 ml,dexadrox 500 mg 10 kapsul,domesco 10 tablet,metrolet 500 mg 10 tablet,moxic 7.5 mg tablet,omemox sirup 60 ml,protezid 100 mg 10 tablet,tidifar 200 mg 10 tablet,tidifar 400 mg 10 tablet,valos 125 mg dry sirup 60 ml,valos 250 mg dry sirup 60 ml,vomiper 10 tablet"
Obat untuk informasi obat ini hanya untuk kalangan medis. pengobatan simtomatik jangka pendek terhadap eksaserbasi akut osteoarthritis. pengobatan simtomatik jangka panjang terhadap rheumatoid arthritis (poliartritis kronik),moxic forte 15 mg tablet
Obat untuk sakit gigi dan nyeri ringan serta demam,novagesic 500 mg 10 kaplet
Obat untuk untuk meringankan rasa sakit yang disebabkan oleh neuritis terutama pada keadaan rasa sakit yang berat,novapyron 10 kaplet
Obat untuk informasi obat ini hanya untuk kalangan medis. meredakan tanda-tanda dan gejala-gejala osteoarthritis,orinox 120 mg 10 tablet
Obat untuk rheumatoid arhritis dan ankilosing spondilitis pada orang dewasa.,orinox 120 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. gangguan sirkulasi serebral/pada otak,perifas 25 mg 10 tablet
Obat untuk gangguan keseimbangan,"perifas 25 mg 10 tablet,vertizine tablet 25 mg"
Obat untuk gangguan sirkulasi perifer,perifas 25 mg 10 tablet
Obat untuk osteo arthritis,pirocam 20 mg 10 tablet
Obat untuk nyeri persendian,pirocam 20 mg 10 tablet
Obat untuk informasi obat ini hanya untuk kalangan medis. artritis reumatoid,pirofel 10 mg 10 kapsul
Obat untuk kelainan muskuloskeletal akut,"pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk nyeri sesudah operasi dan setelah traumatik (terpukul,"pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk terbentur,"erphaflam emulgel 20 g,pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk teriris,"pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk dll),"pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk dismenore (nyeri saat haid).,"pirofel 10 mg 10 kapsul,pirofel 20 mg 10 kapsul"
Obat untuk artritis reumatoid,"ossoral 200 mg 10 tablet,ossoral 800 mg 10 kaplet,pirofel 20 mg 10 kapsul"
Obat untuk untuk menghilangkan rasa sakit yang disebabkan oleh neuritis dan neuralgia,pritagesic 10 kaplet
Obat untuk terutama pada keadaan rasa sakit yang bera,pritagesic 10 kaplet
Obat untuk obat ini digunakan untuk meredakan rasa nyeri ringan sampai sedang dan menurunkan demam.,"paracetamol enema 125 mg/2.5 ml,pyrex enema 125 mg/2.5 ml"
Obat untuk membantu mengurangi nyeri,raven sirup 10 ml 2 sachet
